#               Rm(m)                 Rp(m)                Ωm(m3)                Ωp(m3)                μ(Am2)          Emx_ZFC(n.u.)          Emy_ZFC(n.u.)          Emz_ZFC(n.u.)           Emx_FC(n.u.)           Emy_FC(n.u.)           Emz_FC(n.u.)          Enx_ZFC(n.u.)          Eny_ZFC(n.u.)          Enz_ZFC(n.u.)           Enx_FC(n.u.)           Eny_FC(n.u.)           Enz_FC(n.u.)
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.351447672939148e-01 -4.532974852899442e-02 -9.709027512128023e-01  1.471836313701542e-01  2.269374578245218e-01 -9.627234124569932e-01  8.425364641562183e-01  1.133415594255256e-01 -5.265795262580264e-01  8.425364641562183e-01  1.133415594255256e-01 -5.265795262580264e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -3.844523881385622e-01 -5.905671675422538e-01  7.095257443360853e-01 -1.613775408999212e-01 -3.932914073369682e-01  9.051404080075097e-01 -1.819509233632671e-02 -1.944724167290775e-01 -9.807392200510922e-01 -1.819509233632671e-02 -1.944724167290775e-01 -9.807392200510922e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -4.249065154613052e-01 -7.506063369881787e-02  9.021199223979390e-01 -5.704082225015810e-01  3.603120616057049e-01 -7.381122394080954e-01  3.889467951193905e-01  2.559442375321227e-02  9.209046183178233e-01  3.889467951193905e-01  2.559442375321227e-02  9.209046183178233e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -9.254819543479648e-01  3.746776441325182e-01  5.567598372348312e-02  5.412937311826895e-01  4.883914770129087e-03 -8.408193884294298e-01  6.138274093100250e-01 -4.034722556225486e-01 -6.785470142315828e-01  6.138274093100250e-01 -4.034722556225486e-01 -6.785470142315828e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.028194937938970e-01  2.205986458543845e-01 -8.357683854442336e-01  9.124007586914917e-01  4.081577741908438e-01  3.053009837466256e-02  4.860205250006254e-03 -2.410965162764266e-02  9.996975058002904e-01  4.860205250006254e-03 -2.410965162764266e-02  9.996975058002904e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.169748983483641e-01  6.091255049278437e-01  7.843997656825181e-01  5.346871773688339e-01 -1.122189694697165e-01 -8.375658333817732e-01 -9.383194187371416e-01  7.991322012212632e-03  3.456773165732600e-01 -9.383194187371416e-01  7.991322012212632e-03  3.456773165732600e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.686707111560221e-01 -8.471337243092738e-01  2.504240756045787e-01  1.470222349175964e-01  1.594626666070024e-01 -9.761947143876671e-01 -9.097415913003235e-01 -5.578532738885121e-02  4.114100561562318e-01 -9.097415913003235e-01 -5.578532738885121e-02  4.114100561562318e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -8.578519018223252e-01  3.077998360668381e-01  4.115208080486907e-01  8.892114802764680e-01 -1.889418713530280e-01  4.166580283567668e-01  8.537948899175110e-02  5.009956053022558e-01 -8.612280454835025e-01  8.537948899175110e-02  5.009956053022558e-01 -8.612280454835025e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.850385676041037e-01  6.760208781366772e-01  6.795209984257415e-01 -1.724712206003233e-01 -2.623090928143149e-01 -9.494459531176936e-01 -3.540130159724498e-01  1.434191578398963e-01 -9.241784079313825e-01 -3.540130159724498e-01  1.434191578398963e-01 -9.241784079313825e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  9.530411425177565e-02 -9.834125721901138e-01  1.543270509829980e-01 -3.044014214995457e-02 -8.772664840152437e-02  9.956793825856424e-01 -5.560526889860538e-02  6.803133500436698e-02  9.961324166636870e-01 -5.560526889860538e-02  6.803133500436698e-02  9.961324166636870e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -9.431975529060342e-01  3.217796942803665e-01 -8.268134336658235e-02  9.261667139930680e-01 -3.103203944730338e-01  2.142812886497169e-01  1.193856985671422e-02 -2.970168939645281e-02 -9.994875087747586e-01  1.193856985671422e-02 -2.970168939645281e-02 -9.994875087747586e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  9.501466459179169e-01  3.090937227939681e-01  4.101733511941612e-02 -1.867303197023148e-01 -4.949626109100632e-01  8.486128690427482e-01 -2.399604881504894e-01 -4.904735909161473e-01 -8.377676412588390e-01 -2.399604881504894e-01 -4.904735909161473e-01 -8.377676412588390e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.754477047273027e-02  1.469212133260646e-01  9.889925874868104e-01 -2.293810462651133e-01  8.059894237297553e-01  5.456788290286685e-01 -5.162795506698692e-01  5.854369401915475e-01 -6.250752071705263e-01 -5.162795506698692e-01  5.854369401915475e-01 -6.250752071705263e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -8.526353382374372e-01  3.931963882483050e-01  3.441069314286177e-01  2.837323262273349e-01  6.405479644101476e-02 -9.567616997489633e-01  7.598285543902407e-01 -5.905601965988927e-01  2.718441136502943e-01  7.598285543902407e-01 -5.905601965988927e-01  2.718441136502943e-01
