#               Rm(m)                 Rp(m)                Ωm(m3)                Ωp(m3)                μ(Am2)          Emx_ZFC(n.u.)          Emy_ZFC(n.u.)          Emz_ZFC(n.u.)           Emx_FC(n.u.)           Emy_FC(n.u.)           Emz_FC(n.u.)          Enx_ZFC(n.u.)          Eny_ZFC(n.u.)          Enz_ZFC(n.u.)           Enx_FC(n.u.)           Eny_FC(n.u.)           Enz_FC(n.u.)
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -7.657873625609240e-03 -4.101222120480873e-01 -9.119984255229380e-01  8.942651825220954e-02  1.388126439284719e-01 -9.862727552350185e-01  8.614206427264074e-01  3.533600822599494e-01 -3.648165683601350e-01  8.614206427264074e-01  3.533600822599494e-01 -3.648165683601350e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.368394984647474e-01 -7.027120214335731e-01  4.669038100303528e-01 -7.648201682469887e-01  4.300826683361048e-01  4.796655174593479e-01 -2.732642219652312e-01  8.225274494748283e-01 -4.987737561802651e-01 -2.732642219652312e-01  8.225274494748283e-01 -4.987737561802651e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  1.642732934333330e-01  1.632394770589027e-01 -9.728140409112638e-01 -3.357436586815458e-01 -9.382916578149596e-01 -8.297566227505705e-02  5.137872136010011e-01  1.022112162280738e-01  8.518072354807144e-01  5.137872136010011e-01  1.022112162280738e-01  8.518072354807144e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -4.584327695529327e-01 -8.248303817122317e-01 -3.308991344873570e-01 -6.364644004188553e-01  1.797502607469971e-01 -7.500686040362265e-01 -9.816094030090612e-01 -1.810944932733250e-01 -6.039672532738845e-02 -9.816094030090612e-01 -1.810944932733250e-01 -6.039672532738845e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  1.072663923374538e-02 -7.031403452425781e-01  7.109701780686003e-01 -3.806627869808386e-02 -5.325160272869598e-01  8.455635038887344e-01  4.342699372146152e-03 -3.687012553485362e-02 -9.993106297869583e-01  4.342699372146152e-03 -3.687012553485362e-02 -9.993106297869583e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.678631402592450e-01 -1.793954558032984e-01  8.033359971842640e-01 -4.492502175793087e-01 -8.876150063389975e-01  1.015570899876783e-01  8.146529189733831e-01  3.500325336356401e-01  4.624044193179397e-01  8.146529189733831e-01  3.500325336356401e-01  4.624044193179397e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -9.562447321868410e-01 -5.275868787697626e-02 -2.877716681996622e-01  9.321844533316811e-01 -2.386018553295977e-02 -3.611963960410562e-01 -4.036128224423980e-01 -2.749576343536138e-01 -8.726368023815783e-01 -4.036128224423980e-01 -2.749576343536138e-01 -8.726368023815783e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  9.696406464543403e-01  8.476610646217653e-02 -2.293724568008374e-01 -8.551395521297048e-01  3.757031908347169e-01  3.571882679764554e-01 -5.329265158962042e-01  5.410595946818522e-01 -6.505719358052903e-01 -5.329265158962042e-01  5.410595946818522e-01 -6.505719358052903e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -2.413377632496981e-01 -3.510892668630781e-01  9.047057039298354e-01 -4.574919887589333e-01  5.646138522962202e-01  6.869587163844842e-01  7.859243920209709e-01 -5.881203763300300e-01 -1.908854970182156e-01  7.859243920209709e-01 -5.881203763300300e-01 -1.908854970182156e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.574158653640133e-02  4.273082470115747e-02  9.989626014389508e-01 -1.929386636532054e-02 -7.361056074619092e-02 -9.971004122290335e-01  1.540198725363634e-02  2.751678900681489e-02 -9.995026788915542e-01  1.540198725363634e-02  2.751678900681489e-02 -9.995026788915542e-01
