#               Rm(m)                 Rp(m)                Ωm(m3)                Ωp(m3)                μ(Am2)          Emx_ZFC(n.u.)          Emy_ZFC(n.u.)          Emz_ZFC(n.u.)           Emx_FC(n.u.)           Emy_FC(n.u.)           Emz_FC(n.u.)          Enx_ZFC(n.u.)          Eny_ZFC(n.u.)          Enz_ZFC(n.u.)           Enx_FC(n.u.)           Eny_FC(n.u.)           Enz_FC(n.u.)
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -3.980318011400032e-01  6.045390919706888e-01  6.900022982284191e-01  6.430067171280612e-01  2.941623441873731e-01 -7.071144723383782e-01  2.292807328356986e-01 -9.227869284430363e-01 -3.096685813010282e-01  2.292807328356986e-01 -9.227869284430363e-01 -3.096685813010282e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.164082091989101e-01 -7.940178777927934e-01 -3.207150935291374e-01  9.541854370627062e-01  2.989416456380513e-01 -1.280797410468117e-02  2.380026231842661e-01  6.927559091935970e-02  9.687908153260857e-01  2.380026231842661e-01  6.927559091935970e-02  9.687908153260857e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -8.364360261647247e-01  5.339852345709746e-01 -1.234282925181469e-01 -7.702336031652950e-01 -2.498628834840037e-01 -5.867782681831921e-01  5.398658673135403e-02  4.830253957230483e-02  9.973727052230595e-01  5.398658673135403e-02  4.830253957230483e-02  9.973727052230595e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  3.768416934143725e-01 -6.908430452038621e-01 -6.170301653874328e-01 -8.646342335195803e-02 -9.492773018127790e-01 -3.023188394482055e-01 -9.025205859252524e-01 -7.200774065238463e-02  4.245838871969567e-01 -9.025205859252524e-01 -7.200774065238463e-02  4.245838871969567e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.341841879783648e-01 -3.267903039755027e-01  7.007271315896227e-01  2.478020747207792e-01  8.638598243761700e-01  4.385662271457413e-01  4.137748190979819e-01 -5.477665330497677e-01 -7.271466319464528e-01  4.137748190979819e-01 -5.477665330497677e-01 -7.271466319464528e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -9.222838672563390e-01  3.201971504962492e-01 -2.164861497019471e-01 -9.750532979119771e-01  2.067209857951152e-01  8.085480976956730e-02  4.626334383947573e-01  3.864061353629878e-01 -7.979101454630619e-01  4.626334383947573e-01  3.864061353629878e-01 -7.979101454630619e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.478029071070116e-01 -1.642262803374634e-01 -9.547897402443297e-01 -5.024835774406772e-02 -2.710416048739839e-02  9.983689032758870e-01  1.361958207746096e-01  4.479997653542310e-01 -8.835988392059398e-01  1.361958207746096e-01  4.479997653542310e-01 -8.835988392059398e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.287032004359846e-01  2.323192431380992e-01 -7.421321007942527e-01 -8.103035647820900e-01  2.990542179557625e-01 -5.039590336766518e-01 -6.427863933083671e-01  7.238407914554990e-01  2.507591697280444e-01 -6.427863933083671e-01  7.238407914554990e-01  2.507591697280444e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.347448795280004e-02  1.554431985475514e-02 -9.997883837566143e-01 -5.035380857879597e-01 -6.222058733925808e-01 -5.994240963431258e-01 -2.325088582950209e-01 -7.676603484098258e-01  5.971911086860309e-01 -2.325088582950209e-01 -7.676603484098258e-01  5.971911086860309e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.740846754844670e-01 -5.417863532929549e-03 -8.804625870674609e-01  5.542822321414308e-02 -2.145456670370487e-01 -9.751399226915853e-01  2.691215958033346e-01  4.368302521240600e-02  9.621150450858561e-01  2.691215958033346e-01  4.368302521240600e-02  9.621150450858561e-01
