#               Rm(m)                 Rp(m)                Ωm(m3)                Ωp(m3)                μ(Am2)          Emx_ZFC(n.u.)          Emy_ZFC(n.u.)          Emz_ZFC(n.u.)           Emx_FC(n.u.)           Emy_FC(n.u.)           Emz_FC(n.u.)          Enx_ZFC(n.u.)          Eny_ZFC(n.u.)          Enz_ZFC(n.u.)           Enx_FC(n.u.)           Eny_FC(n.u.)           Enz_FC(n.u.)
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -7.126354065246567e-02 -9.879234248406061e-01  1.375820279865121e-01 -1.045860623915674e-01 -5.560354406961866e-01 -8.245522083186877e-01  4.092276935627315e-02  3.822313756728939e-02  9.984309283584545e-01  4.092276935627315e-02  3.822313756728939e-02  9.984309283584545e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.560047901030606e-02  9.919179173842779e-01 -1.184037224333228e-01 -1.634921903992684e-01 -6.686033336336229e-01 -7.254239353181392e-01 -4.067139794564367e-01 -5.987774243658051e-01  6.899632852439047e-01 -4.067139794564367e-01 -5.987774243658051e-01  6.899632852439047e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.591461300846741e-01  8.117973807606468e-01 -1.683467190101620e-01  4.838111386845989e-01 -2.976991225933825e-01  8.229836052387933e-01  1.330373575371575e-01 -8.805513312406665e-01 -4.548960480701282e-01  1.330373575371575e-01 -8.805513312406665e-01 -4.548960480701282e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -3.613725633289568e-03  5.026676432941701e-02 -9.987292893426617e-01  6.342219128673185e-01 -1.627066527586686e-01  7.558366955811218e-01  8.864821616795836e-02 -7.013140000996968e-01  7.073189994863714e-01  8.864821616795836e-02 -7.013140000996968e-01  7.073189994863714e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.290006371938848e-01  1.728934114983113e-01  7.579353974252440e-01  6.338680502311917e-01  7.680162381536924e-01  9.144590110200847e-02 -2.585109086322765e-01  8.667698440412216e-01 -4.264764326183467e-01 -2.585109086322765e-01  8.667698440412216e-01 -4.264764326183467e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -7.091616485276239e-01 -7.046598091106382e-01 -2.333044538241616e-02  1.856829211160382e-01  9.084215990021840e-01 -3.745558052842468e-01  1.580210871060367e-01 -3.802599038394782e-01  9.112802760741709e-01  1.580210871060367e-01 -3.802599038394782e-01  9.112802760741709e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.267461866316024e-01 -7.125821325658714e-01  4.634276202568636e-01  8.817836643737909e-01 -1.737348166252064e-01  4.384903450883905e-01 -9.705050630627336e-02 -8.806102393485139e-01 -4.637960818940248e-01 -9.705050630627336e-02 -8.806102393485139e-01 -4.637960818940248e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.869357064931392e-01  5.852542152102622e-01 -5.594497117900944e-01 -8.046575711721080e-01  5.908051995120890e-01  5.895260286776755e-02  7.035893189620711e-01  1.646282316899689e-01  6.912739077768834e-01  7.035893189620711e-01  1.646282316899689e-01  6.912739077768834e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -5.423383203557282e-01  6.241244392368707e-01 -5.624391794860930e-01  3.956464136670624e-01 -7.373140391958436e-01  5.475691033623991e-01 -6.484969957560275e-01  2.591188786948202e-01  7.157576777089756e-01 -6.484969957560275e-01  2.591188786948202e-01  7.157576777089756e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.522453615734570e-01 -7.084816318976095e-02 -7.546896885995908e-01 -9.702882364083703e-01  2.134315481739343e-01 -1.139636456577801e-01 -7.264737776656044e-01 -1.045869382434918e-01  6.791887975468368e-01 -7.264737776656044e-01 -1.045869382434918e-01  6.791887975468368e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.111390901360675e-01 -8.319573394302965e-01 -3.725743334291144e-01 -3.601614125530962e-01 -3.168756010615433e-01  8.774244186023341e-01 -9.844087342710484e-02 -4.034528538839705e-01  9.096896114234725e-01 -9.844087342710484e-02 -4.034528538839705e-01  9.096896114234725e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  1.163308068189413e-01 -2.648852689166575e-02 -9.928572411620734e-01 -4.573688753206965e-02  8.714992516361508e-02 -9.951447269934435e-01  7.843262127159194e-01 -1.128541158322986e-01  6.099970004732912e-01  7.843262127159194e-01 -1.128541158322986e-01  6.099970004732912e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  6.835688012365347e-01 -2.552289709626355e-01  6.838068925927853e-01 -9.544117898158693e-01  2.704622833193678e-01 -1.262865343658736e-01 -1.626281095955872e-01  7.010714751721110e-02 -9.841936221274581e-01 -1.626281095955872e-01  7.010714751721110e-02 -9.841936221274581e-01
