#               Rm(m)                 Rp(m)                Ωm(m3)                Ωp(m3)                μ(Am2)          Emx_ZFC(n.u.)          Emy_ZFC(n.u.)          Emz_ZFC(n.u.)           Emx_FC(n.u.)           Emy_FC(n.u.)           Emz_FC(n.u.)          Enx_ZFC(n.u.)          Eny_ZFC(n.u.)          Enz_ZFC(n.u.)           Enx_FC(n.u.)           Eny_FC(n.u.)           Enz_FC(n.u.)
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.897627378691725e-01 -7.977156338703366e-01  1.258160581957030e-01 -1.895925440460133e-02 -9.909263163665097e-01  1.330623245126939e-01  3.185392733084323e-01  6.861678436636619e-01 -6.539926770859872e-01  3.185392733084323e-01  6.861678436636619e-01 -6.539926770859872e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -7.752319857289149e-01 -3.701983754881085e-02 -6.305909132953497e-01  2.470941145774056e-02  3.399844631041888e-02 -9.991163849291481e-01  4.205233195257623e-01 -8.668835355590290e-01 -2.677182726518893e-01  4.205233195257623e-01 -8.668835355590290e-01 -2.677182726518893e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.478020764823874e-01 -5.412205337922149e-01 -6.379602015825551e-01 -6.001486360566707e-01  6.872859013378065e-01  4.092184067971489e-01  3.150528271589412e-01 -9.473411408148572e-02 -9.443342436491193e-01  3.150528271589412e-01 -9.473411408148572e-02 -9.443342436491193e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  3.316782227007850e-01  3.215903381211686e-01 -8.868873722255611e-01  4.834693891501724e-02  2.109737601046979e-01  9.762953682389530e-01 -2.499837274474613e-01 -3.217126063995373e-01  9.132410059207207e-01 -2.499837274474613e-01 -3.217126063995373e-01  9.132410059207207e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.357529048210838e-01  8.093352830476689e-01 -5.714433904130727e-01 -9.296345234524628e-01  3.205106923996613e-01  1.818035996970420e-01  3.003268054516652e-02  7.413964554245994e-01  6.703949089776204e-01  3.003268054516652e-02  7.413964554245994e-01  6.703949089776204e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  5.960162636648317e-01  3.809072176595303e-01 -7.068764425144531e-01  1.884717812621972e-01 -7.751235152633119e-01  6.030438821128201e-01 -9.876794178540516e-01  1.538644722408562e-01  2.854981137459008e-02 -9.876794178540516e-01  1.538644722408562e-01  2.854981137459008e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  1.676048378570707e-01 -6.391340485025074e-01 -7.506106090188838e-01  3.541358753606303e-01  9.284719183896472e-01 -1.119271126421504e-01  9.669945418597422e-01 -1.452400745957703e-01  2.093486965445029e-01  9.669945418597422e-01 -1.452400745957703e-01  2.093486965445029e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.419173576366070e-02 -9.406425088650550e-01 -3.391021456022792e-01 -7.463505717372230e-01  4.312896819479760e-01 -5.069023913069796e-01  5.524236501827451e-01  1.625930583019827e-01  8.175522051286878e-01  5.524236501827451e-01  1.625930583019827e-01  8.175522051286878e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.046275941239388e-01  9.690567647185335e-01 -2.235666641095783e-01  1.472078783962287e-01 -8.863010116826186e-04  9.891051789413489e-01  4.215478632118147e-02 -4.763334164896321e-01 -8.782536366708255e-01  4.215478632118147e-02 -4.763334164896321e-01 -8.782536366708255e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -8.763745903229320e-01  3.072031959886036e-01  3.709363473841580e-01  3.026702848628759e-01  8.346805254283562e-01  4.601077255726845e-01 -4.148018414082426e-01 -7.695539150473150e-02  9.066516972259439e-01 -4.148018414082426e-01 -7.695539150473150e-02  9.066516972259439e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -6.846310603337238e-02 -6.046437831434523e-02  9.958196935526646e-01 -1.806398226606028e-01  1.696030543938189e-03 -9.835478523943509e-01  9.979479352051593e-01 -4.572486636820960e-02  4.482360109773294e-02  9.979479352051593e-01 -4.572486636820960e-02  4.482360109773294e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  3.598127912444131e-02 -1.173638974050192e-02 -9.992835457008327e-01 -9.772326609817695e-01  1.157055639818026e-01  1.778441699189012e-01 -9.347812564222391e-02  4.973239568184559e-01 -8.625141865504887e-01 -9.347812564222391e-02  4.973239568184559e-01 -8.625141865504887e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  1.288204113915316e-01 -1.030141158036428e-01  9.863028913848475e-01 -1.594294561232635e-01 -5.052989326563319e-01  8.480891681755004e-01 -4.486691827436867e-01 -6.488682446664169e-01  6.145453323552585e-01 -4.486691827436867e-01 -6.488682446664169e-01  6.145453323552585e-01
